asn,name,country,registry
AS14124,GeekWerx LLC,US,arin
AS14125,Oswald Companies,US,arin
AS14126,VoiceStar,US,arin
AS14127,Iland Internet Solutions Corporation,US,arin
AS14128,National University,US,arin
AS14129,"Southwest Cyberport, Inc.",US,arin
AS1413,Sbarro Inc,US,arin
AS14131,DataYard,US,arin
AS14132,BlueMatrix I LLC,US,arin
AS14133,"U.S. Metropolitan Telecom, LLC",US,arin
AS14134,"Navisite, Inc.",US,arin
AS14135,"Navisite, Inc.",US,arin
AS14136,"PC Connection, Inc.",US,arin
AS14137,America Internet & Communications,US,arin
AS14138,Orange County Public Schools,US,arin
AS14139,Maxor Pharmacies,US,arin
AS1414,Genuine Parts Company,US,arin
AS14140,Auburn Essential Services,US,arin
AS14141,Total Server Solutions L.L.C.,US,arin
AS14142,"Bank of Botetourt, Inc.",US,arin
AS14143,Rock Solid Internet & Telephone,US,arin
AS14144,"Admin on Demand, LLC",US,arin
AS14145,REGIONS FINANCIAL CORPORATION,US,arin
AS14146,Levenger,US,arin
AS14147,Bank-Fund Staff Federal Credit Union,US,arin
AS14148,Ex Libris (USA) Inc,US,arin
AS14149,Icon Health & Fitness Inc,US,arin
AS1415,Christus Health,US,arin
AS14151,Investment Company Institute,US,arin
AS14152,Netpulse Services,CA,arin
AS14153,"MCI Communications Services, Inc. d/b/a Verizon Business",US,arin
AS14154,"FAIRPOINT COMMUNICATIONS, INC.",US,arin
AS14155,"Rural Telephone Service Co, Inc.",US,arin
AS14156,"Grande Communications Networks, LLC",US,arin
AS14157,"GENWORTH FINANCIAL, Inc.",US,arin
AS14158,First West Credit Union,CA,arin
AS14159,NetNet,US,arin
AS1416,Chicago Public Schools,US,arin
AS14160,"Premium Hosting, Inc.",US,arin
AS14161,"Land O'Lakes, Inc.",US,arin
AS14162,FEDERAL HOME LOAN BANK of PITTSBURGH,US,arin
AS14163,Shearman & Sterling,US,arin
AS14164,Bluegrass Cellular Inc.,US,arin
AS14165,"Fastline Publications, LLC",US,arin
AS14166,Softcom Technology Consulting Inc.,CA,arin
AS14167,"Multi-Ad Services, Inc.",US,arin
AS14168,"Politico, LLC",US,arin
AS14169,Virginia Military Institute,US,arin
AS1417,"WARNACO, INC.",US,arin
AS14170,"Digital River, Inc.",US,arin
AS14171,Thomas Technology Solutions Inc.,US,arin
AS14172,"X2nSat, Inc",US,arin
AS14173,"PHOTOBUCKET.COM, INC.",US,arin
AS14174,North Central Kansas Community Network Co.,US,arin
AS14175,HAWORTH,US,arin
AS14176,Rhoann Enterprises Ltd.,CA,arin
AS14177,Nortel Networks,CA,arin
AS14178,"Megacable Comunicaciones de Mexico, S.A. de C.V.",MX,lacnic
AS14179,Interactive Gaming and Wagering N.V.,CW,lacnic
AS1418,"MATE1.COM, INC.",CA,arin
AS14180,INTERNET SOLUTIONS OF AL LLC,US,arin
AS14181,UBET Wireless,US,arin
AS14182,"eData, Inc.",US,arin
AS14183,University of Arkansas at Little Rock,US,arin
AS14184,"DataGlyphics, Inc.",US,arin
AS14185,"CABLE ONE, INC.",US,arin
AS14187,BT LATAM COLOMBIA S.A.,CO,lacnic
AS14188,Ashland Fiber Network,US,arin
AS14189,Witt-Kieffer,US,arin
AS1419,"Selerity Financial, Inc.",US,arin
AS14190,Best Buy Canada Ltd.,CA,arin
AS14191,Hard Soft Systems Ltd.,CA,arin
AS14192,Carthage College,US,arin
AS14193,KONGE TECH CORP,US,arin
AS14194,OCONEE MEMORIAL HOSPITAL,US,arin
AS14195,Contego Solutions LLC,US,arin
AS14196,Yahoo,US,arin
AS14197,HEALTH MARKET SCIENCE,US,arin
AS14198,New Dawn Technologies,US,arin
