asn,name,country,registry
AS137906,PMP Limited,AU,apnic
AS137907,PMP Limited,AU,apnic
AS137908,10VPN HOSTING,CA,apnic
AS137909,Globius Servers,US,apnic
AS13791,Internap Network Services Corporation,US,arin
AS137910,NZGeek,NZ,apnic
AS137911,Prime Minister Office,BD,apnic
AS137912,Global Broadband K.K,JP,apnic
AS137913,EDISON Global Networks Limited,HK,apnic
AS137914,ABB LIMITED,NZ,apnic
AS137915,"Zero Technology Co. ,LIMITED",HK,apnic
AS137916,EDL GROUP OPERATIONS PTY LTD,AU,apnic
AS137917,"Shanghai Yan Zhou Electronic Technology Co., Ltd.",CN,apnic
