207.254.254.0	24	3356
219.252.25.192	30	18302
205.232.152.0	22	1785
116.48.0.0	16	4760
125.56.204.0	22	4804
204.61.6.0	24	5078
94.155.102.0	24	9070
129.182.0.0	16	25186
217.129.156.0	22	13156
64.41.193.0	24	20046
195.128.16.0	24	24703
83.167.1.0	24	28890
200.52.170.0	24	13999
80.73.0.0	20	13188
116.193.17.0	24	4808
209.22.197.0	24	11693
59.12.239.0	25	23566
88.42.0.0	15	3269
65.60.132.0	22	29895
193.58.40.0	23	6848
202.255.44.0	22	7667
61.117.0.0	17	4732
72.24.170.0	23	11492
131.207.17.0	24	1759
88.83.192.0	19	21017
216.157.216.0	24	22637
62.93.64.0	19	21360_25447
123.151.0.0	16	17638
200.43.112.0	24	27827
66.254.207.0	24	20456
195.60.70.0	23	39762
64.47.38.0	24	30516
93.180.192.0	18	31343
24.121.86.0	23	25994
218.184.64.0	18	7482
70.89.81.0	24	20214
209.252.224.0	22	1785
157.100.227.0	24	23216
190.19.192.0	18	10318
203.210.68.0	23	17802
209.168.128.0	22	6983
165.254.52.0	24	40618
24.193.128.0	17	12271
124.150.129.0	24	38843
210.146.122.0	23	23625
207.176.43.0	24	18781
91.206.156.0	24	47891
210.178.157.192	26	23577
202.162.42.0	24	17996
207.211.228.0	22	4544
77.73.96.0	22	39318
218.231.32.0	20	18078
91.203.236.0	24	13296
192.112.144.0	24	1906
116.68.218.0	23	23625
64.32.128.0	17	4565
74.212.107.0	24	11492
202.181.156.0	24	7540
204.19.146.0	24	21548
192.236.16.0	21	20115
66.59.0.0	19	19864
95.162.59.0	24	25524
74.68.128.0	17	12271
87.237.142.0	23	39045
222.19.64.0	19	4538
65.38.203.0	24	11992
66.159.128.0	24	26410
210.82.36.0	22	17620
63.133.191.0	24	18990
64.1.24.0	24	33500
168.176.185.0	24	5722
203.55.214.0	24	24227
217.20.18.0	24	28673
55.6.0.0	16	361
64.37.168.0	21	13720
203.91.135.0	24	9237
80.75.96.0	20	20904
205.232.113.0	24	1785
168.238.130.0	24	26057
98.168.192.0	18	22773
69.198.172.0	22	17184
125.18.120.0	24	9498
114.116.0.0	15	4134
171.21.253.0	24	28806
210.68.64.0	18	4780
200.216.0.0	16	7738
121.1.53.0	24	10139
192.52.50.0	24	553
216.107.81.0	24	15105
72.4.160.0	20	30217
68.68.89.0	24	47020
173.22.250.0	24	6478
193.169.244.0	23	42159
209.59.104.0	23	11139
85.237.144.0	21	41132
209.250.244.220	30	14037
61.17.195.0	24	17908
190.52.198.0	24	27919
93.154.112.0	20	42461
93.155.233.0	24	42878
