geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone
256592,en,EU,Europe,GR,Greece,I,Attica,,,"Nea Peramos",,Europe/Athens
256598,en,EU,Europe,GR,Greece,I,Attica,,,"Nea Makri",,Europe/Athens
256601,en,EU,Europe,GR,Greece,I,Attica,,,"Nea Liosia",,Europe/Athens
256606,en,EU,Europe,GR,Greece,J,Peloponnese,11,"Nomos Argolidos","Nea Kios",,Europe/Athens
256614,en,EU,Europe,GR,Greece,I,Attica,,,"Nea Ionia",,Europe/Athens
256622,en,EU,Europe,GR,Greece,I,Attica,,,"Nea Erythraia",,Europe/Athens
256626,en,EU,Europe,GR,Greece,H,"Central Greece",04,Euboea,"Nea Artaki",,Europe/Athens
256632,en,EU,Europe,GR,Greece,L,"South Aegean",82,"Nomos Kykladon",Naxos,,Europe/Athens
256637,en,EU,Europe,GR,Greece,J,Peloponnese,11,"Nomos Argolidos",Nafplion,,Europe/Athens
256639,en,EU,Europe,GR,Greece,G,"West Greece",01,Aitoloakarnania,Nafpaktos,,Europe/Athens
256795,en,EU,Europe,GR,Greece,J,Peloponnese,16,Laconia,Monemvasía,,Europe/Athens
256842,en,EU,Europe,GR,Greece,M,Crete,91,"Nomos Irakleiou",Moires,,Europe/Athens
256866,en,EU,Europe,GR,Greece,K,"North Aegean",83,"Nomos Lesvou",Mytilene,,Europe/Athens
257056,en,EU,Europe,GR,Greece,L,"South Aegean",82,"Nomos Kykladon",Mykonos,,Europe/Athens
257122,en,EU,Europe,GR,Greece,J,Peloponnese,17,Messenia,Methoni,,Europe/Athens
257152,en,EU,Europe,GR,Greece,J,Peloponnese,17,Messenia,Messini,,Europe/Athens
257186,en,EU,Europe,GR,Greece,G,"West Greece",01,Aitoloakarnania,Messolonghi,,Europe/Athens
257302,en,EU,Europe,GR,Greece,I,Attica,,,Melissia,,Europe/Athens
257365,en,EU,Europe,GR,Greece,I,Attica,,,Megara,,Europe/Athens
257395,en,EU,Europe,GR,Greece,J,Peloponnese,12,Arcadia,Megalopolis,,Europe/Athens
